1,LeBron James,1,CLE,2 yrs/$64.2M  $35.6M PO 2018,30963450,30963450,33285709,33285709,35607968,,,,,,3,,,,TRUE,,,FALSE,FALSE,,,,Rich Paul,Klutch Sports Group,,$260.5M
2,Kawhi Leonard,2,SAS,3 yrs/$56.6M  $21.3M PO 2019,17638063,17638063,18868625,18868625,20099189,20099189,21329752,,,,,4,,,TRUE,,,FALSE,TRUE,,,,Bran Elfus & Mitch Frankel,Impact Sports Management,,$260.1M
3,Kevin Durant,3,GSW,1 yr/$26.6M  $27.3M PO 2017,26540100,26540100,27734405,,,,,,,,2,,,,FALSE,,,FALSE,TRUE,,,,Rich Kleiman & Juan Perez,Roc Nation Sports,,$227.1M
4,Stephen Curry,4,GSW,1 yr/$12.1M,12112359,12112359,,,,,,,,,,,,,TRUE,,,FALSE,TRUE,,,,Jeff Austin,Octagon,,$366.4M
5,James Harden,5,HOU,3 yrs/$85.3M  $32.7M PO 2019,26540100,26540100,28299399,28299399,30421854,30421854,32703493,,,,4,,,,TRUE,,,FALSE,TRUE,,,,Rob Pelinka,Landmark Sports Agency,,$322.4M
6,Giannis Antetokounmpo,6,MIL,5 yrs/$103M (4 yr/$100M ext),2995421,2995421,22471911,22471911,24157304,24157304,25842697,25842697,27528088,27528088,,,,2,TRUE,,,TRUE,FALSE,,,,Alex Saratsis,Octagon,,$213.9M
7,Anthony Davis,7,NOP,5 yrs/$123.4M,22116750,22116750,23775506,23775506,25434263,25434263,27093019,27093019,28751775,,5,,,,TRUE,,,FALSE,TRUE,,,,Thaddeus Foucher,Wasserman Media Group,,$227.5M
8,Karl-Anthony Towns,8,MIN,Rookie contract  $10.2M QO 2019,5960160,5960160,6216840,,7839435,,10191266,,,,,7,,4,TRUE,,,TRUE,FALSE,,,,Leon Rose & Mitch Nathan,CAA Sports,,$294.6M
9,Joel Embiid,9,PHL,Rookie contract  $8M QO 2018,4826160,4826160,6100266,,8003549,,,,,,,2,,3,TRUE,,,TRUE,FALSE,,,,Leon Rose,CAA Sports,,$116.2M
10,John Wall,10,WAS,3 yrs/$54.2M,16957900,16957900,18063850,18063850,19169800,19169800,,,,,,,,,TRUE,,,FALSE,TRUE,,,,Rich Paul,Klutch Sports Group,,$193.0M
11,Russell Westbrook,11,OKC,2 yrs/$55.1M  $30.7M PO 2018,26540100,26540100,28530608,28530608,30521115,,,,,,3,,,,TRUE,,,FALSE,TRUE,,,,Thaddeus Foucher,Wasserman Media Group,,$322.4M
12,Draymond Green,12,GSW,4 yrs/$67.7M,15330435,15330435,16400000,16400000,17469565,17469565,18539130,18539130,,,,,,,TRUE,,,FALSE,TRUE,,,,B.J. Armstrong,Wasserman Media Group,,$221.1M
13,Jimmy Butler,13,CHI,3 yrs/$56.1M  $19.8M PO 2019 PO,17552209,17552209,18696918,18696918,19841624,19841624,19841627,,,,4,,,,TRUE,,,FALSE,TRUE,,,,Happy David Walters & Steve McCaskill & Chris Patrick,Catalyst Sports Relativity Sports Independent Sports & Entertainment (ISE),,$173.0M
14,Paul George,14,IND,2 yrs/$37.8M  $20.7M PO 2018,18314532,18314532,19508958,19508958,20703384,,,,,,3,,,,TRUE,,,FALSE,TRUE,,,,Aaron Mintz,CAA Sports,,$168.7M
15,Rudy Gobert,15,UTH,5 yrs/$92.1M (4 yr/$90M ext),2121287,2121287,20224719,20224719,21741573,21741573,23258427,23258427,24775281,24775281,,,,2,TRUE,,,TRUE,FALSE,,,,Bouna Ndiaye,Comsport,,$195.8M
16,Kyrie Irving,16,CLE,3 yrs/$56.6M  $25.6M PO 2019,17638063,17638063,18868625,18868625,20099188,20099188,21329750,,,,4,,,,TRUE,,,FALSE,TRUE,,,,Jeffrey Wechsler,24/7 Sports Management,,$160.0M
17,Klay Thompson,17,GSW,3 yrs/$53.5M,16663575,16663575,17826150,17826150,18988725,18988725,,,,,,,,,TRUE,,,FALSE,TRUE,,,,Bill Duffy,BOA Sporst Management,,$90.1M
18,Damian Lillard,18,POR,5 yrs/$136.5M,24328425,24328425,26153057,26153057,27977689,27977689,29802321,29802321,31626953,31626953,,,,,TRUE,,,FALSE,TRUE,,,,Aaron Goodwin,Goodwin Sports Management,,$200.5M
19,Ben Simmons,19,PHL,Rookie contract  $10.5M QO 2020,5903160,5903160,6168840,6168840,6434520,,8113930,,10548109,,,8,,5,TRUE,,,TRUE,FALSE,,,,Rich Paul,Klutch Sports Group,,$198.1M
20,Nikola Jokic,20,DEN,Rookie contract  $1.5M QO 2018,1358500,1358500,1417000,1417000,1475500,,,,,,,3,,,TRUE,,,TRUE,FALSE,,,,Jeff Schwartz,Excel Sports Management,,$216.9M
21,Better of BOS or BRK 2017 1st,21,BOS,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,,,,
22,Kristaps Porzingis,22,NYK,Rookie contract  $7.5M QO 2019,4317720,4317720,4503600,,5697054,,7514414,,,,,7,,4,TRUE,,,TRUE,FALSE,,,,Andy Miller,ASM Sports,,$193.3M
23,Myles Turner,23,IND,Rookie contract  $4.7M QO 2019,2463840,2463840,2569920,,3410284,,4668679,,,,,7,,4,TRUE,,,TRUE,FALSE,,,,Andy Miller,ASM Sports,,$50.7M
24,PHX 2017 1st,24,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PHL 2017 1st (swap rights with SAC 1-10),25,PHL,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,,,,
26,Blake Griffin,26,LAC,1 yr/$20.1M  $21.4M ETO 2017,20140839,20140839,21373952,,,,,,,,,,2,,TRUE,,,FALSE,TRUE,,,,Sam Goldfeder,Excel Sports Management,,$124.4M
